repo_name,pr_url,filepath,class_name,method_name,is_truly_added,survival_status,code_loc,char_length,tokens,docstring_words,method_name_words,is_getter,is_setter,is_IsHas,is_test,is_in_test_code,is_private,is_dunder_method,has_return,number_of_variable,number_of_print,cyclomatic_complexity,halstead_volume,max_nesting_depth,param_count,call_expression_count,comment_ratio,uses_try_except,uses_constants,avg_var_name_length,status
mlflow,https://github.com/mlflow/mlflow/pull/16658,dev/check_function_signatures.py,,parse_functions,1,noref_survived,5,220,44,0,2,0,0,0,0,0,0,0,1,2,0,1,0.0,0,1,3,0.0,0,0,6.666666666666667,survived
mlflow,https://github.com/mlflow/mlflow/pull/16658,dev/check_function_signatures.py,,check_signature_compatibility,1,noref_survived,89,5176,485,89,3,0,0,0,0,0,0,0,1,11,0,20,131.68575291675114,3,2,23,0.1,0,0,9.23076923076923,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/interface.py,,get_data,1,noref_survived,5,128,20,0,2,1,0,0,0,0,0,0,1,0,0,2,4.754887502163469,1,0,3,0.0,0,0,0.0,survived
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/visualizer/interface.py,,update_global_data,1,ref_deleted_method,19,863,117,0,3,0,0,0,0,0,0,0,0,9,0,4,25.26619429851844,2,0,6,0.0454545454545454,0,0,12.857142857142858,deleted
triton-viz,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,triton_viz/core/data.py,Dot,update_intermediate,1,noref_survived,2,168,30,0,2,0,0,0,0,0,0,0,0,1,0,1,0.0,0,4,0,0.3333333333333333,0,0,4.0,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/test_matrix_functions.py,TestMatrixFunctions,test_simple_matrix,1,noref_survived,11,767,129,5,3,0,0,0,1,1,0,0,0,2,0,5,41.51317942364757,1,3,9,0.238095238095238,0,0,6.2,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/test_matrix_functions.py,TestMatrixFunctions,test_broadcasting_higher_dims,1,noref_survived,20,1442,210,10,4,0,0,0,1,1,0,0,0,6,0,9,94.01164534875782,3,2,18,0.2352941176470588,0,0,7.375,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/test_matrix_functions.py,TestMatrixFunctions,test_correlation_covariance_relationship,1,noref_survived,8,493,74,6,4,0,0,0,1,1,0,0,0,5,0,1,4.754887502163469,0,1,8,0.0769230769230769,0,0,7.666666666666667,survived
numbagg,https://github.com/numbagg/numbagg/pull/388,numbagg/test/conftest.py,,pandas_matrix_setup,1,noref_survived,3,212,19,9,3,0,0,0,0,1,0,0,1,1,0,1,0.0,0,1,1,0.2,0,0,1.5,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/cli.py,,content,1,noref_survived,23,1191,216,6,1,0,0,0,0,0,0,0,0,2,0,5,4.754887502163469,3,5,18,0.037037037037037,0,0,6.0,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_scanner.py,TestModelScanner,test_whitelist,1,noref_survived,11,656,68,3,2,0,0,0,1,1,0,0,0,4,0,4,23.264662506490403,0,2,4,0.1176470588235294,0,0,7.666666666666667,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/guide_generator.py,GuideGenerator,_load_model_info,1,noref_survived,38,2360,300,6,3,0,0,0,0,0,1,0,1,8,0,11,94.01164534875782,7,2,17,0.135593220338983,1,0,8.857142857142858,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_cli.py,TestScanCLI,runner,1,noref_survived,2,83,11,4,1,0,0,0,0,1,0,0,1,0,0,1,0.0,0,1,1,0.0,0,0,4.0,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/formatter.py,OutputFormatter,_format_text,1,noref_survived,7,293,50,4,2,0,0,0,0,0,1,0,1,0,0,3,0.0,2,2,5,0.0,0,0,4.0,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_cli.py,TestScanCLI,test_scan_compare_command,1,noref_survived,17,793,110,5,4,0,0,0,1,1,0,0,0,4,0,3,70.32403072095333,1,3,6,0.0454545454545454,0,0,7.571428571428571,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_cli.py,TestScanCLI,test_scan_main_help,1,noref_survived,8,484,63,4,4,0,0,0,1,1,0,0,0,2,0,6,45.0,0,2,2,0.0769230769230769,0,0,5.5,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,tests/test_scan/test_cli.py,TestScanCLI,test_scan_generate_parallel_config_example,1,noref_survived,16,928,112,5,6,0,0,0,1,1,0,0,0,3,0,7,70.32403072095333,2,2,8,0.0454545454545454,0,0,6.6,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/scanner.py,ModelScanner,_iter_files,1,noref_survived,10,649,94,7,2,0,0,0,0,0,1,0,0,3,0,8,43.18506523353572,4,2,4,0.0625,0,0,8.0,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/scanner.py,ModelScanner,_determine_category,1,noref_survived,17,929,141,10,2,0,0,0,0,0,1,0,1,2,0,4,4.754887502163469,2,2,4,0.0,0,0,6.5,survived
haconiwa,https://github.com/dai-motoki/haconiwa/pull/5,src/haconiwa/scan/comparator.py,ModelComparator,__init__,1,noref_survived,11,500,65,0,1,0,0,0,0,0,0,1,0,2,0,1,0.0,0,2,1,0.0769230769230769,0,0,6.5,survived
numbagg,https://github.com/numbagg/numbagg/pull/394,numbagg/test/test_matrix_functions.py,TestMatrixDtypePreservation,test_dtype_preservation,1,noref_survived,16,1061,161,5,3,0,0,0,1,1,0,0,0,9,0,5,12.0,1,2,14,0.2692307692307692,0,0,6.727272727272728,survived
fastmcp,https://github.com/jlowin/fastmcp/pull/1190,tests/cli/test_run_with_uv.py,TestRunWithUv,test_run_with_uv_with_packages,1,noref_survived,20,668,90,5,6,0,0,0,1,1,0,0,0,3,0,3,13.931568569324174,1,2,4,0.0,0,0,5.75,survived
fastmcp,https://github.com/jlowin/fastmcp/pull/1190,tests/cli/test_cli.py,TestMainCLI,test_build_uv_command_with_python_version,1,noref_survived,14,440,43,7,7,0,0,0,1,1,0,0,0,2,0,2,4.754887502163469,0,1,1,0.0,0,0,5.0,survived
fastmcp,https://github.com/jlowin/fastmcp/pull/1190,tests/cli/test_run_with_uv.py,TestRunWithUv,test_run_with_uv_transport_options,1,noref_survived,35,1034,121,5,6,0,0,0,1,1,0,0,0,3,0,3,13.931568569324174,1,2,4,0.0,0,0,5.75,survived
kura,https://github.com/567-labs/kura/pull/53,kura/v1/visualization.py,,add_node_to_tree,1,noref_survived,16,1447,166,8,4,0,0,0,0,0,0,0,0,10,0,7,255.0,1,3,6,0.1851851851851851,0,0,8.0,survived
kura,https://github.com/567-labs/kura/pull/53,kura/v1/visualization.py,,visualise_clusters_rich,1,noref_survived,101,6791,779,86,3,0,0,0,0,0,0,0,0,24,0,24,763.5655570972713,2,3,60,0.1226993865030674,0,1,9.25925925925926,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,tests/test_agent_pipeline.py,TestCoverage,test_contextual_pipeline_decay_with_rate,1,noref_survived,6,376,64,7,6,0,0,0,1,1,0,0,0,4,0,1,0.0,0,1,8,0.0,0,0,4.4,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,tests/test_agent_pipeline.py,TestNonContextualAgentPipeline,test_pull_with_top_k,1,noref_survived,8,385,69,5,5,0,0,0,1,1,0,0,0,5,0,3,13.931568569324174,0,1,8,0.0,0,0,6.333333333333333,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_agent.py,ContextualAgentPipeline,policy,1,noref_survived,2,115,16,7,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0,2,0,0.0,0,0,4.5,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_agent.py,ContextualAgentPipeline,__repr__,1,noref_survived,6,313,24,2,1,0,0,0,0,0,0,1,1,1,0,2,0.0,0,1,1,0.0,0,0,7.0,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_agent.py,NonContextualAgentPipeline,arms,1,noref_survived,2,103,13,7,1,0,0,0,0,0,0,0,1,0,0,1,0.0,0,1,0,0.0,0,0,4.0,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,tests/test_agent_pipeline.py,TestNonContextualAgentPipeline,test_update_with_sample_weight,1,noref_survived,9,503,81,6,5,0,0,0,1,1,0,0,0,6,0,1,0.0,0,1,9,0.125,0,0,5.714285714285714,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_learner.py,LearnerPipeline,partial_fit,1,noref_survived,9,730,59,38,2,0,0,0,0,0,0,0,1,1,0,1,0.0,0,4,2,0.0,0,0,6.4,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,tests/test_learner_pipeline.py,TestLearnerPipelineInit,test_missing_learner_methods_error,1,noref_survived,8,445,46,8,5,0,0,0,1,1,0,0,0,0,0,1,0.0,1,1,3,0.0769230769230769,0,0,4.0,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_learner.py,LearnerPipeline,__getitem__,1,noref_survived,4,203,40,7,1,0,0,0,0,0,0,1,1,0,0,2,0.0,1,2,1,0.0,0,0,3.5,survived
bayesianbandits,https://github.com/bayesianbandits/bayesianbandits/pull/170,bayesianbandits/pipelines/_learner.py,LearnerPipeline,sample,1,noref_survived,3,556,43,35,1,0,0,0,0,0,0,0,1,1,0,1,0.0,0,3,2,0.0,0,0,5.5,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,_analyze_project_structure,1,noref_survived,13,753,132,5,3,0,0,0,0,0,1,0,1,3,0,6,15.509775004326936,4,2,6,0.0,1,0,8.25,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,_identify_new_files,1,noref_survived,2,188,29,8,3,0,0,0,0,0,1,0,1,0,0,1,0.0,0,3,0,0.0,0,0,9.0,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,create_implementation_blueprint,1,noref_survived,11,904,102,9,3,0,0,0,0,0,0,0,1,1,0,1,0.0,0,3,6,0.0,0,0,11.0,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,_analyze_comment_patterns,1,noref_survived,2,181,28,4,3,0,0,0,0,0,1,0,1,0,0,1,0.0,0,2,0,0.0,0,0,8.0,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,_analyze_test_naming,1,noref_survived,2,181,28,4,3,0,0,0,1,1,1,0,1,0,0,1,0.0,0,2,0,0.0,0,0,8.0,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,src/praisonai-agents/praisonaiagents/agent/context_agent.py,ContextAgent,_determine_validation_method,1,noref_survived,2,170,15,7,3,0,0,0,0,0,1,0,1,0,0,1,0.0,0,2,0,0.0,0,0,6.5,survived
PraisonAI,https://github.com/MervinPraison/PraisonAI/pull/1021,examples/python/agents/context-agent.py,,demonstrate_basic_context_generation,1,noref_survived,76,4189,280,5,4,0,0,0,0,0,0,0,0,11,33,1,122.11451069865603,0,0,56,0.0686274509803921,0,0,12.818181818181818,survived
